"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231002","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231003","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231004","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231005","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231006","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231007","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231008","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231009","HD현대오일뱅크","셀프","0","1798","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231010","HD현대오일뱅크","셀프","0","1798","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231011","HD현대오일뱅크","셀프","0","1798","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231012","HD현대오일뱅크","셀프","0","1798","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231013","HD현대오일뱅크","셀프","0","1758","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231014","HD현대오일뱅크","셀프","0","1758","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231015","HD현대오일뱅크","셀프","0","1758","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231016","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231017","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231018","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231019","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231020","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231021","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231022","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231023","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231024","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231025","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231026","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231027","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231028","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231029","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231030","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231031","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231101","HD현대오일뱅크","셀프","0","1758","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231102","HD현대오일뱅크","셀프","0","1738","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231103","HD현대오일뱅크","셀프","0","1738","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231104","HD현대오일뱅크","셀프","0","1738","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231105","HD현대오일뱅크","셀프","0","1738","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231106","HD현대오일뱅크","셀프","0","1698","1658","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231107","HD현대오일뱅크","셀프","0","1698","1658","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231108","HD현대오일뱅크","셀프","0","1698","1658","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231109","HD현대오일뱅크","셀프","0","1698","1658","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231110","HD현대오일뱅크","셀프","0","1678","1638","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231111","HD현대오일뱅크","셀프","0","1678","1638","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231112","HD현대오일뱅크","셀프","0","1678","1638","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231113","HD현대오일뱅크","셀프","0","1678","1638","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231114","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231115","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231116","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231117","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231118","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231119","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231120","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231121","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231122","HD현대오일뱅크","셀프","0","1678","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231123","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231124","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231125","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231126","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231127","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231128","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231129","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231130","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231201","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231202","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231203","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231204","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231205","HD현대오일뱅크","셀프","0","1648","1598","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231206","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231207","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231208","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231209","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231210","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231211","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231212","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231213","HD현대오일뱅크","셀프","0","1598","1548","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231214","HD현대오일뱅크","셀프","0","1598","1548","0"
